recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,uplift_score
11,1) $0 - $100,37.62,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.79
11,1) $0 - $100,37.56,1,0,Surburban,0,Web,Mens E-Mail,1,1,106.97,1,0.78
1,3) $200 - $350,338.79,1,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.75
4,2) $100 - $200,117.89,1,0,Rural,0,Web,Mens E-Mail,1,1,56.86,1,0.73
1,3) $200 - $350,243.77,1,0,Rural,0,Phone,Mens E-Mail,1,1,29.99,1,0.73
4,1) $0 - $100,36.45,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.73
1,4) $350 - $500,357.99,1,0,Urban,0,Multichannel,Mens E-Mail,1,1,237.07,1,0.72
1,4) $350 - $500,365.79,1,0,Urban,0,Phone,Mens E-Mail,1,1,499.0,1,0.72
4,1) $0 - $100,79.8,0,1,Rural,0,Web,Mens E-Mail,1,1,29.99,1,0.72
6,1) $0 - $100,61.08,1,0,Surburban,0,Phone,Mens E-Mail,1,1,29.99,1,0.72
2,1) $0 - $100,87.27,0,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.71
3,2) $100 - $200,164.38,1,0,Urban,0,Web,Mens E-Mail,1,1,70.4,1,0.71
10,2) $100 - $200,107.64,1,0,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.71
2,1) $0 - $100,30.4,1,0,Urban,0,Web,Mens E-Mail,1,1,379.91,1,0.7
6,1) $0 - $100,45.35,1,0,Surburban,0,Phone,Mens E-Mail,1,1,29.99,1,0.7
4,3) $200 - $350,234.88,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.7
10,3) $200 - $350,284.91,0,1,Urban,0,Phone,Mens E-Mail,1,1,65.49,1,0.69
2,4) $350 - $500,363.58,0,1,Rural,0,Web,Mens E-Mail,1,1,38.23,1,0.69
10,3) $200 - $350,202.58,1,0,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.69
7,3) $200 - $350,288.4,0,1,Surburban,0,Web,Mens E-Mail,1,1,44.12,1,0.69
9,2) $100 - $200,173.88,0,1,Surburban,0,Phone,Mens E-Mail,1,1,58.13,1,0.69
