recency,history,zip_code,channel,newbie,uplift_score
1,646.37,Urban,Multichannel,1,0.8
9,544.11,Rural,Phone,1,0.78
2,53.34,Urban,Phone,1,0.76
5,184.92,Urban,Phone,1,0.75
1,1262.17,Rural,Phone,1,0.74
4,55.63,Rural,Web,0,0.74
1,525.78,Surburban,Phone,1,0.74
1,1515.82,Surburban,Multichannel,1,0.73
2,49.29,Surburban,Phone,1,0.73
5,389.76,Surburban,Multichannel,0,0.72
8,1422.37,Rural,Phone,1,0.72
7,923.48,Surburban,Multichannel,1,0.72
4,1034.62,Surburban,Phone,1,0.71
1,96.34,Urban,Phone,0,0.71
1,78.53,Rural,Phone,1,0.71
3,263.29,Surburban,Phone,0,0.71
1,282.82,Surburban,Multichannel,0,0.71
1,71.58,Surburban,Web,0,0.71
2,579.54,Urban,Web,1,0.7
5,495.0,Surburban,Web,0,0.7
1,204.46,Surburban,Web,0,0.7
12,94.75,Urban,Phone,1,0.69
4,73.55,Surburban,Web,1,0.69
3,942.29,Surburban,Phone,1,0.69
8,400.92,Urban,Multichannel,0,0.69
9,435.91,Urban,Multichannel,0,0.69
2,33.71,Urban,Web,1,0.69
1,1628.41,Urban,Web,1,0.69
3,284.59,Surburban,Multichannel,0,0.69
1,208.15,Surburban,Multichannel,0,0.69
10,30.53,Urban,Phone,1,0.6854493494802392
4,1434.9,Surburban,Multichannel,1,0.68
6,110.24,Rural,Web,1,0.68
9,171.01,Rural,Web,0,0.68
12,209.91,Urban,Phone,0,0.68
2,182.91,Rural,Phone,0,0.68
10,106.53,Urban,Web,0,0.68
2,51.71,Urban,Phone,1,0.68
8,287.06,Urban,Phone,0,0.68
6,179.01,Urban,Phone,0,0.68
3,309.81,Rural,Web,0,0.67
7,287.52,Urban,Phone,0,0.67
1,486.4,Urban,Multichannel,0,0.67
1,41.03,Surburban,Phone,0,0.67
3,553.88,Surburban,Phone,1,0.67
2,272.95,Urban,Web,1,0.67
2,60.33,Surburban,Web,1,0.67
2,633.86,Urban,Phone,1,0.67
1,74.59,Surburban,Phone,1,0.67
10,203.22,Rural,Phone,0,0.67
1,78.55,Surburban,Web,0,0.66
9,62.17,Urban,Web,0,0.66
2,51.34,Surburban,Web,0,0.66
4,430.98,Surburban,Phone,0,0.66
10,290.62,Surburban,Web,0,0.66
5,49.54,Surburban,Web,1,0.66
1,239.7,Urban,Web,1,0.66
11,373.38,Rural,Web,0,0.66
6,614.42,Urban,Web,1,0.66
5,143.26,Urban,Phone,0,0.66
2,60.2,Surburban,Web,1,0.66
9,34.84,Surburban,Web,0,0.65
1,1033.92,Surburban,Web,1,0.65
2,83.62,Urban,Web,0,0.65
1,59.41,Rural,Web,1,0.65
1,85.11,Surburban,Phone,0,0.65
12,130.84,Surburban,Web,0,0.65
2,39.31,Surburban,Web,1,0.65
8,137.37,Surburban,Web,1,0.65
6,74.98,Urban,Phone,0,0.65
8,1115.93,Urban,Phone,1,0.65
4,139.14,Surburban,Web,1,0.65
10,162.04,Rural,Phone,0,0.65
10,107.82,Surburban,Web,1,0.65
5,52.56,Rural,Web,0,0.64
2,711.82,Surburban,Multichannel,1,0.64
3,730.41,Rural,Multichannel,1,0.64
4,297.8,Urban,Phone,0,0.64
9,266.74,Urban,Multichannel,0,0.64
2,1021.61,Surburban,Multichannel,1,0.64
1,648.79,Surburban,Multichannel,1,0.64
2,846.64,Urban,Web,1,0.64
2,1020.29,Surburban,Multichannel,1,0.64
2,51.78,Rural,Phone,0,0.64
6,265.61,Surburban,Multichannel,1,0.64
10,30.82,Urban,Web,0,0.6381644905390415
5,378.78,Surburban,Multichannel,1,0.63
12,442.65,Rural,Multichannel,1,0.63
10,57.64,Rural,Phone,0,0.63
10,47.17,Urban,Web,0,0.63
9,54.56,Surburban,Phone,0,0.63
1,1035.14,Surburban,Web,1,0.63
1,642.89,Urban,Multichannel,1,0.63
10,197.63,Surburban,Web,0,0.63
8,509.23,Urban,Web,1,0.63
8,34.89,Urban,Phone,1,0.63
7,371.51,Rural,Multichannel,1,0.63
1,573.14,Surburban,Web,1,0.63
8,194.81,Urban,Web,1,0.63
7,87.77,Urban,Web,1,0.63
5,43.48,Surburban,Web,0,0.63
5,167.16,Urban,Web,1,0.63
5,192.12,Rural,Web,0,0.63
3,31.53,Surburban,Phone,0,0.63
9,127.99,Surburban,Phone,0,0.63
6,210.94,Rural,Web,1,0.63
2,749.65,Urban,Multichannel,1,0.63
12,130.77,Surburban,Web,0,0.63
6,81.39,Rural,Phone,0,0.63
5,210.12,Surburban,Phone,0,0.63
9,352.94,Urban,Web,0,0.63
3,815.43,Rural,Web,1,0.63
2,53.2,Urban,Phone,1,0.63
10,92.57,Urban,Web,1,0.62
4,549.28,Urban,Multichannel,1,0.62
5,142.3,Rural,Phone,0,0.62
1,172.31,Surburban,Web,1,0.62
1,72.04,Surburban,Web,0,0.62
9,365.59,Rural,Multichannel,0,0.62
