recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,uplift_score
4,1) $0 - $100,55.63,1,0,Rural,0,Web,Womens E-Mail,1,1,362.2,1,0.74
5,4) $350 - $500,389.76,1,1,Surburban,0,Multichannel,Womens E-Mail,1,1,29.99,1,0.72
1,1) $0 - $100,96.34,1,0,Urban,0,Phone,Womens E-Mail,1,1,276.77,1,0.71
3,3) $200 - $350,263.29,1,1,Surburban,0,Phone,Womens E-Mail,1,1,29.99,1,0.71
1,3) $200 - $350,282.82,1,0,Surburban,0,Multichannel,Womens E-Mail,1,1,95.41,1,0.71
1,1) $0 - $100,71.58,0,1,Surburban,0,Web,Womens E-Mail,1,1,31.03,1,0.71
1,3) $200 - $350,204.46,1,1,Surburban,0,Web,Womens E-Mail,1,1,47.7,1,0.7
5,4) $350 - $500,495.0,0,1,Surburban,0,Web,Womens E-Mail,1,1,134.86,1,0.7
9,4) $350 - $500,435.91,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,136.21,1,0.69
8,4) $350 - $500,400.92,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,275.73,1,0.69
3,3) $200 - $350,284.59,1,0,Surburban,0,Multichannel,Womens E-Mail,1,1,94.71,1,0.69
1,3) $200 - $350,208.15,0,1,Surburban,0,Multichannel,Womens E-Mail,1,1,29.99,1,0.69
10,2) $100 - $200,106.53,0,1,Urban,0,Web,Womens E-Mail,1,1,109.64,1,0.68
12,3) $200 - $350,209.91,0,1,Urban,0,Phone,Womens E-Mail,1,1,309.54,1,0.68
9,2) $100 - $200,171.01,0,1,Rural,0,Web,Womens E-Mail,1,1,309.08,1,0.68
2,2) $100 - $200,182.91,0,1,Rural,0,Phone,Womens E-Mail,1,1,100.45,1,0.68
6,2) $100 - $200,179.01,1,0,Urban,0,Phone,Womens E-Mail,1,1,230.46,1,0.68
8,3) $200 - $350,287.06,0,1,Urban,0,Phone,Womens E-Mail,1,1,29.99,1,0.68
1,1) $0 - $100,41.03,1,0,Surburban,0,Phone,Womens E-Mail,1,1,153.29,1,0.67
3,3) $200 - $350,309.81,1,0,Rural,0,Web,Womens E-Mail,1,1,50.68,1,0.67
10,3) $200 - $350,203.22,1,0,Rural,0,Phone,Womens E-Mail,1,1,37.27,1,0.67
7,3) $200 - $350,287.52,1,1,Urban,0,Phone,Womens E-Mail,1,1,43.7,1,0.67
1,4) $350 - $500,486.4,1,0,Urban,0,Multichannel,Womens E-Mail,1,1,414.08,1,0.67
10,3) $200 - $350,290.62,1,0,Surburban,0,Web,Womens E-Mail,1,1,29.99,1,0.66
4,4) $350 - $500,430.98,1,0,Surburban,0,Phone,Womens E-Mail,1,1,29.99,1,0.66
11,4) $350 - $500,373.38,0,1,Rural,0,Web,Womens E-Mail,1,1,59.32,1,0.66
5,2) $100 - $200,143.26,1,0,Urban,0,Phone,Womens E-Mail,1,1,172.53,1,0.66
9,1) $0 - $100,62.17,1,0,Urban,0,Web,Womens E-Mail,1,1,29.99,1,0.66
1,1) $0 - $100,78.55,0,1,Surburban,0,Web,Womens E-Mail,1,1,105.04,1,0.66
2,1) $0 - $100,51.34,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99,1,0.66
1,1) $0 - $100,85.11,0,1,Surburban,0,Phone,Womens E-Mail,1,1,36.2,1,0.65
12,2) $100 - $200,130.84,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99,1,0.65
6,1) $0 - $100,74.98,0,1,Urban,0,Phone,Womens E-Mail,1,1,176.11,1,0.65
10,2) $100 - $200,162.04,1,0,Rural,0,Phone,Womens E-Mail,1,1,35.2,1,0.65
9,1) $0 - $100,34.84,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99,1,0.65
2,1) $0 - $100,83.62,1,0,Urban,0,Web,Womens E-Mail,1,1,140.24,1,0.65
4,3) $200 - $350,297.8,1,1,Urban,0,Phone,Womens E-Mail,1,1,264.66,1,0.64
5,1) $0 - $100,52.56,0,1,Rural,0,Web,Womens E-Mail,1,1,111.46,1,0.64
9,3) $200 - $350,266.74,1,0,Urban,0,Multichannel,Womens E-Mail,1,1,347.49,1,0.64
2,1) $0 - $100,51.78,0,1,Rural,0,Phone,Womens E-Mail,1,1,69.9,1,0.64
10,1) $0 - $100,30.82,1,0,Urban,0,Web,Womens E-Mail,1,1,148.86,1,0.6381644905390415
3,1) $0 - $100,31.53,0,1,Surburban,0,Phone,Womens E-Mail,1,1,362.2,1,0.63
5,2) $100 - $200,192.12,0,1,Rural,0,Web,Womens E-Mail,1,1,29.99,1,0.63
9,4) $350 - $500,352.94,0,1,Urban,0,Web,Womens E-Mail,1,1,30.7,1,0.63
5,3) $200 - $350,210.12,0,1,Surburban,0,Phone,Womens E-Mail,1,1,113.44,1,0.63
9,2) $100 - $200,127.99,1,0,Surburban,0,Phone,Womens E-Mail,1,1,137.87,1,0.63
9,1) $0 - $100,54.56,1,0,Surburban,0,Phone,Womens E-Mail,1,1,33.02,1,0.63
10,1) $0 - $100,47.17,0,1,Urban,0,Web,Womens E-Mail,1,1,210.65,1,0.63
10,1) $0 - $100,57.64,0,1,Rural,0,Phone,Womens E-Mail,1,1,29.99,1,0.63
5,1) $0 - $100,43.48,0,1,Surburban,0,Web,Womens E-Mail,1,1,39.81,1,0.63
6,1) $0 - $100,81.39,0,1,Rural,0,Phone,Womens E-Mail,1,1,182.91,1,0.63
12,2) $100 - $200,130.77,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.63
10,2) $100 - $200,197.63,0,1,Surburban,0,Web,Womens E-Mail,1,1,144.3,1,0.63
5,2) $100 - $200,142.3,1,0,Rural,0,Phone,Womens E-Mail,1,1,124.07,1,0.62
1,1) $0 - $100,61.08,0,1,Rural,0,Web,Womens E-Mail,1,1,70.85,1,0.62
9,4) $350 - $500,365.59,1,1,Rural,0,Multichannel,Womens E-Mail,1,1,29.99,1,0.62
1,1) $0 - $100,72.04,0,1,Surburban,0,Web,Womens E-Mail,1,1,163.79,1,0.62
11,4) $350 - $500,444.85,1,1,Surburban,0,Phone,Womens E-Mail,1,1,153.91,1,0.62
1,4) $350 - $500,482.28,0,1,Surburban,0,Multichannel,Womens E-Mail,1,1,58.39,1,0.62
10,2) $100 - $200,169.19,0,1,Urban,0,Phone,Womens E-Mail,1,1,123.68,1,0.62
10,1) $0 - $100,88.37,0,1,Urban,0,Phone,Womens E-Mail,1,1,29.99,1,0.61
12,2) $100 - $200,132.46,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.61
3,3) $200 - $350,334.23,0,1,Urban,0,Phone,Womens E-Mail,1,1,65.49,1,0.61
9,3) $200 - $350,268.71,0,1,Surburban,0,Multichannel,Womens E-Mail,1,1,130.2,1,0.61
1,3) $200 - $350,249.17,0,1,Urban,0,Phone,Womens E-Mail,1,1,51.99,1,0.61
9,1) $0 - $100,62.0,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.6
10,2) $100 - $200,132.93,0,1,Surburban,0,Web,Womens E-Mail,1,1,49.7,1,0.6
10,2) $100 - $200,132.95,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.6
1,2) $100 - $200,185.07,1,0,Surburban,0,Phone,Womens E-Mail,1,1,101.06,1,0.6
2,4) $350 - $500,384.2,0,1,Surburban,0,Web,Womens E-Mail,1,1,37.42,1,0.6
6,2) $100 - $200,177.84,0,1,Surburban,0,Web,Womens E-Mail,1,1,89.75,1,0.6
11,2) $100 - $200,167.39,0,1,Surburban,0,Web,Womens E-Mail,1,1,60.78,1,0.59
1,2) $100 - $200,173.28,0,1,Surburban,0,Phone,Womens E-Mail,1,1,52.67,1,0.59
3,4) $350 - $500,438.68,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,41.45,1,0.58
3,2) $100 - $200,158.21,0,1,Surburban,0,Phone,Womens E-Mail,1,1,83.91,1,0.58
9,2) $100 - $200,184.63,0,1,Surburban,0,Web,Womens E-Mail,1,1,85.41,1,0.57
10,2) $100 - $200,169.15,0,1,Surburban,0,Web,Womens E-Mail,1,1,104.22,1,0.56
1,2) $100 - $200,101.99,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99,1,0.56
